"Access token","API Token"
"Access key","API Key"
"Testing environment","Ambiente de testes"
"Minimum installments amount","Valor mínimo da parcela"
"Maximum number of installments (without interest)","Número máximo de parcelas (sem juros)"
"Maximum number of installments (with interest)","Número máximo de parcelas (com juros)"
"To disable installments with interest, fill this field with the same value of the above.","Para desabilitar parcelas com juros, preencha este campo com o mesmo valor do campo acima."
"Installments interest rate","Taxa de juros das parcelas"
"Number of installments","Número de parcelas"
"%d installments of %.2f (without interest)","%d parcelas de R$ %.2f (sem juros)"
"%d installments of %.2f (with interest)","%d parcelas de R$ %.2f (com juros)"
