CÓDIGO|GOLDEN CÃES|GOLDEN GATOS|PREMIER|VITTA NATURAL
37412|243675|243677||
39250|243675|243677|243679|
35812|250746|250747||
32395|250746|250747|243679|
35366|250746|250747|243679|
40896|250746|250747|243679|
39604|250746|250747|243679|
38561|243675|243677|243679|
41160|243675|243677||
39744|250746|250747|243679|
29234|243675|243677|243679|
40562|243675|243677||
35496|250746|243677|243679|
41895|250746|250747|243679|
35288|243675|243677||
40484|243675|243677||
39419|243675|243677||
28714|243675|243677||
24978|243675|243677||
40959|243675|243677||
40430|243675|243677||
40793|243675|250747||
30327|243675|243677||
37139|243675|243677|243679|
24709|243675|243677||
24453|243675|243677|243679|
40987|243675|243677||
41223||||
38562||||
40791|243675|||
26523||||
24572||||
24570|||243679|
40283||||
25335|243675|243677|243679|
24457||||
24854||||
40499||||
40995||||
25514|243675|250747||
41721||||
35899||||
41933||||
32729|243674|250747|243679|
41374|243675|243677|243679|
40726|243675|243677||
24571|||243679|
35459|243675|243677|243679|
24430|243674|250758|243679|250759
41419|243674|250758|243679|250759
24537|243674|250758|243678|250759
24484|250746|250758|243679|250759
24930|250746|250758|243679|250759
26396|243674|250758|243679|250759
25383|250752|250758|243679|250759
24969|250746|250758|243679|250759
39532|250752|250756|243678|250759
35821|243674|250758|243679|250759
24825|250752|250756|243679|250759
25756|250746|250756|243679|250759
39862|250752|250756|243678|250759
24856|250752|250756|243679|250759
37786|250752|250756|243679|250759
24988|250752|250756|243679|250759
39435|250752|250756|243679|250759
29024|250746|250758|243679|250759
39059|250752|250756|243679|250759
25171|250754|250756|243679|250759
39071|243674|250758|243678|250759
36305|250754|250758|243678|250759
25172|250752|250756|243679|250759
28930|250746|250756|243679|250759
26718|250752|250756|243679|250759
37487|250746|250756|243679|250759
39153|250752|250756|243679|250759
41283|250752|250756|243679|250759
33209|250752|250756|243679|250759
38220|250746|250758|243679|250759
41554|250752|250756|243679|250759
40194|250752|250756|243679|250759
40331|250750|250756|243679|250759
32539|250746|250756|243679|250759
25180|250752|250756|243679|250759
39952|250752|250756|243679|250759
38944|250752|250756|243679|250759
38092|250752|250756|243679|250759
36568|250752|250756|243679|250759
39460|250752|250756|243679|250759
41960|250752|250756|243679|250759
33955|250752|250756|243679|250759
38172|250752|250756|243679|250759
40473|250752|250756|243679|250759
40570|250752|250756|243679|250759
41973|250752|250756|243679|250759
39844|250762|250764||
27161|250762|250764||250769
27517|250750|250766|250767|
39753|250762|250765||
24731|250762|250765|250767|
40580|250762|250764||
41029|250750|250766|250767|
34335|250762|250764||
35136|250760|250763||
38928|250762|250764|250767|
35130|250762|250764||
40907|250760|250764||
24720|250762|250764||
41730|250762|250763||
28592|250762|250764||
35813|250760|250764||
40783|250762|250764|250767|
38273|250762|250764||
25045|250762|250763||
32086|250752|250766|250767|
41099|250760|250763||
41495|250760|250763||
41051|250762|250764||
36328|250760|250764||
40815|250760|||
35699|250760|250763||
40557|250762|250764||
40738|250760|250763|250767|
29751|250762|250764||
38360|250762|250764||
29036|250760|250763||
40912|250760|250763||
29866|250762|250764||
40064|250760|250763||
41607|250762|250764||
40696||||
39742|250762|250764||
40659|250762|250764|250767|
27908|250752|250766|250767|
39742|250762|250764||
41607|250762|250764||250769
39938|250760|250763||250768
40493|250762|250764|250767|250768
36569|250762|250764|250767|250768
29681|250762|250764||
40696||||
40659|250762|250764|250767|
38360|250762|250764||
32085||||
39948|250760|250764|250767|
30835|250760|250764||
